Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
India,3.17E+11,2.67E+11,2.84E+11,2.76E+11,3.23E+11,3.55E+11,3.88E+11,4.10E+11,4.16E+11,4.53E+11,4.62E+11,4.79E+11,5.08E+11,6.00E+11,7.00E+11,8.09E+11,9.20E+11,1.20E+12,1.19E+12,1.32E+12,1.66E+12,1.82E+12,1.83E+12,1.86E+12,2.04E+12,2.10E+12,2.27E+12,2.60E+12
Ireland,49364681256,49847128533,55985506499,52480253169,57166037102,69222626263,75880632560,82826146132,90082034316,98691849563,99853528653,1.09E+11,1.28E+11,1.64E+11,1.94E+11,2.12E+11,2.32E+11,2.70E+11,2.75E+11,2.36E+11,2.22E+11,2.39E+11,2.26E+11,2.39E+11,2.58E+11,2.91E+11,3.05E+11,3.34E+11
Iceland,6372905073,6807365898,6976080331,6126456175,6294803497,7018100153,7330965239,7548912105,8453704212,8917286036,8927140438,8136345144,9207689916,11316441660,13722824251,16691490114,17048647568,21319946740,17658408759,12944114736,13310567803,14732689535,14292008745,15548321544,17304033021,16942247374,20304098101,23909289979
Israel,58986997917,67530220219,75575902932,75954641355,86307135997,1.00E+11,1.10E+11,1.15E+11,1.16E+11,1.17E+11,1.32E+11,1.31E+11,1.21E+11,1.27E+11,1.35E+11,1.42E+11,1.54E+11,1.79E+11,2.16E+11,2.07E+11,2.34E+11,2.62E+11,2.57E+11,2.92E+11,3.08E+11,2.99E+11,3.18E+11,3.51E+11
Italy,1.18E+12,1.24E+12,1.32E+12,1.06E+12,1.10E+12,1.17E+12,1.31E+12,1.24E+12,1.27E+12,1.25E+12,1.14E+12,1.16E+12,1.27E+12,1.57E+12,1.80E+12,1.85E+12,1.94E+12,2.20E+12,2.39E+12,2.19E+12,2.13E+12,2.28E+12,2.07E+12,2.13E+12,2.15E+12,1.83E+12,1.86E+12,1.93E+12
Jamaica,4592224067,4071219198,3530892749,5405097571,5419134875,6538840170,7368000000,8375077443,8763219645,8851581633,8985352832,9178016493,9694169757,9399447609,10150978155,11204416000,11901911988,12827809965,13680482787,12067478478,13200286270,14413359665,14798716216,14193012191,13852192273,14145469269,14072135209,14781107822
Japan,3.13E+12,3.58E+12,3.91E+12,4.45E+12,4.91E+12,5.45E+12,4.83E+12,4.41E+12,4.03E+12,4.56E+12,4.89E+12,4.30E+12,4.12E+12,4.45E+12,4.82E+12,4.76E+12,4.53E+12,4.52E+12,5.04E+12,5.23E+12,5.70E+12,6.16E+12,6.20E+12,5.16E+12,4.85E+12,4.39E+12,4.95E+12,4.87E+12
Kenya,8572359163,8151479004,8209129172,5751789915,7148145376,9046326060,12045858436,13115773738,14093998844,12896013577,12705357103,12986007426,13147743911,14904517650,16095337094,18737897745,25825524821,31958195182,35895153328,37021512049,40000088347,41953433591,50412754861,55096728048,61448041564,64007751188,70875223143,79263075749
St. Kitts and Nevis,217258907.8,220539507.4,242135418.1,263754660.4,295157658.1,313483384.8,333946095.6,374640295.1,383257144.9,406597034.4,433520494.9,475443712.2,497328946.7,486344351,529250459.3,577730934.1,657227386.7,723938700.4,793368441,767066391.8,766785071.2,818728133,800392821.2,849496203.9,916857359.5,936314411.5,958973183.2,992007403.1
"Korea, Rep.",2.79E+11,3.26E+11,3.50E+11,3.86E+11,4.56E+11,5.56E+11,5.98E+11,5.58E+11,3.74E+11,4.85E+11,5.62E+11,5.33E+11,6.09E+11,6.81E+11,7.65E+11,8.98E+11,1.01E+12,1.12E+12,1.00E+12,9.02E+11,1.09E+12,1.20E+12,1.22E+12,1.31E+12,1.41E+12,1.38E+12,1.41E+12,1.53E+12
Latin America & Caribbean (excluding high income),9.42E+11,1.15E+12,1.02E+12,1.21E+12,1.40E+12,1.50E+12,1.63E+12,1.79E+12,1.80E+12,1.59E+12,1.80E+12,1.76E+12,1.71E+12,1.71E+12,1.95E+12,2.38E+12,2.79E+12,3.30E+12,3.84E+12,3.60E+12,4.48E+12,5.05E+12,5.08E+12,5.20E+12,5.36E+12,4.39E+12,4.28E+12,4.74E+12
Latin America & Caribbean,1.18E+12,1.45E+12,1.37E+12,1.58E+12,1.80E+12,1.92E+12,2.08E+12,2.28E+12,2.30E+12,2.07E+12,2.29E+12,2.24E+12,2.01E+12,2.05E+12,2.36E+12,2.86E+12,3.35E+12,3.95E+12,4.59E+12,4.31E+12,5.35E+12,6.08E+12,6.14E+12,6.30E+12,6.42E+12,5.52E+12,5.38E+12,5.97E+12
Sri Lanka,8032551173,9000362582,9703011636,10338679636,11717604209,13029697561,13897738375,15091913884,15794972847,15656327860,16330814180,15749753805,16536535647,18881765437,20662525941,24405791045,28279814925,32350248411,40713812310,42066217872,56725749222,65292753006,68434409315,74317806538,79356449841,80604080689,81787420023,87357205923
Low & middle income,3.55E+12,3.74E+12,3.65E+12,3.89E+12,4.21E+12,4.74E+12,5.19E+12,5.48E+12,5.31E+12,5.19E+12,5.69E+12,5.77E+12,6.07E+12,6.82E+12,8.09E+12,9.65E+12,1.15E+13,1.42E+13,1.71E+13,1.67E+13,2.03E+13,2.39E+13,2.55E+13,2.71E+13,2.82E+13,2.66E+13,2.67E+13,2.93E+13
Lesotho,596415104.5,704329192.8,831033941.1,835592802.3,878250450.6,1001889857,946123275.9,997996028.6,928458206,912771290.6,887295267.9,825706961.2,775780697.7,1157832935,1511236656,1682350935,1800105590,1716262757,1758534998,1773199526,2361613522,2787951879,2678475775,2526009059,2614566294,2510312805,2323419619,2578265358
Late-demographic dividend,2.03E+12,2.24E+12,2.09E+12,2.17E+12,2.47E+12,3.02E+12,3.33E+12,3.48E+12,3.35E+12,3.10E+12,3.40E+12,3.52E+12,3.72E+12,4.25E+12,5.11E+12,6.16E+12,7.44E+12,9.37E+12,1.17E+13,1.13E+13,1.35E+13,1.65E+13,1.76E+13,1.90E+13,1.97E+13,1.85E+13,1.85E+13,2.05E+13
Luxembourg,13229247948,14321878795,16065740778,16486900187,18325791415,21588170498,21776609772,19731912494,20209122027,22235929043,21263514833,21272418792,23616328816,29557325056,34685281848,37347394603,42414308117,50888134410,55849686539,51370543206,53212476812,60004630234,56677961787,61739352212,66327344189,57784495265,58631324559,62404461275
Morocco,30180108562,32285388165,33711069431,31655473664,35604137423,39030285468,43161452678,39147844526,41806219379,41632027600,38857251336,39459581217,42236836821,52064058834,59626020162,62343022651,68640825481,79041294874,92507257784,92897320376,93216746662,1.01E+11,98266306615,1.07E+11,1.10E+11,1.01E+11,1.03E+11,1.10E+11
Madagascar,3081479800,2653141959,3024459564,3370842211,2977040722,3159901232,3995028593,3545776697,3738704468,3717515283,3877673539,4529575348,4397254608,5474030080,4363934494,5039293031,5515884349,7342923489,9413002921,8550363975,8729936136,9892702358,9919780071,10601690872,10673516673,9744243531,10001193315,11499803807
Mexico,2.61E+11,3.13E+11,3.63E+11,5.01E+11,5.28E+11,3.60E+11,4.11E+11,5.00E+11,5.27E+11,6.00E+11,7.08E+11,7.57E+11,7.72E+11,7.29E+11,7.82E+11,8.77E+11,9.75E+11,1.05E+12,1.11E+12,9.00E+11,1.06E+12,1.18E+12,1.20E+12,1.27E+12,1.31E+12,1.17E+12,1.08E+12,1.15E+12
Middle income,3.43E+12,3.62E+12,3.55E+12,3.78E+12,4.12E+12,4.64E+12,5.07E+12,5.36E+12,5.19E+12,5.07E+12,5.55E+12,5.64E+12,5.93E+12,6.67E+12,7.91E+12,9.44E+12,1.13E+13,1.40E+13,1.67E+13,1.64E+13,1.99E+13,2.35E+13,2.51E+13,2.66E+13,2.76E+13,2.61E+13,2.62E+13,2.87E+13
